Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8
 
T(A1_S),    50.0,   47,     44,     41,     38,     35
V(A1_S),    13.55,  11.25,  10.35,  8.55,   7.5,    7.05 
 
T(A2_S),    49.9,   45.7,   41.8,   37.8,   33.8,   31
V(A2_S),    12.55,  11.0,   8.85,   7.45,   6.35,   5.85

T(A2_B),    49.9,   46.4,   42.6,   38.5,   34.7,   30.7
V(A2_B),    19.1,   16.35,  13.7,   11.75,  10.3,   9.2
 
T(A3_S),    50.8,   45.5,   44.0,   40.2,   35.8,   32.4
V(A3_S),    14.15,  10.75,  10.3,   9.2,    7.2,    6.9

T(A3_B),    50.0,   47.5,   44.5,   41.3,   38.4,   32.6
V(A3_B),    17.05,  17.35,  15.3,   13.4,   12.05,  10
 
T(A4_S),    49.5,   45.7,   42.3,   38.3,   34.3,   31.8
V(A4_S),    13.4,   10.5,   9.4,    8.05,   7.15,   6.5

T(A4_B),    50.0,   46.0,   42.3,   38.3,   34.5
V(A4_B),    17.0,   16.9,   13.3,   11.6,   10.15

T(A5_B),    49.0,   47.9,   45.0,   38.0,   34.9,   30.7
V(A5_B),    16.0,   15.8,   14.55,  11.7,   10.2,   8.95

T(B1_S),    50.3,   43.1,   39.9,   36.0,   34.0,   30.0
V(B1_S),    12.45,  12.15,  11.24,  10.45,  9.65,   7.65

T(B1_B),    47.7,   44.5,   41.6,   39.1,   35.6,   32.9
V(B1_B),    19.65,  18.05,  16.4,   14.75,  13.1,   11.15

T(B2_S),    50.0,   47.5,   44.2,   40.4,   35.5,   30.5
V(B2_S),    12.1,   11.4,   10.2,   8.45,   8.15,   6.45

T(B2_B),    49.0,   46.0,   44.2,   40.0,   36.0,   30.6
V(B2_B),    17.8,   16.5,   15.6,   13.5,   11.75,  9.75

T(B3_S),    49.0,   45.5,   42.0,   38.5,   34.5,   30.5
V(B3_S),    12.2,   11.2,   10.0,   9.45,   8.4,    6.45

T(B3_B),    48.2,   46.4,   44.1,   40.1,   36.1,   32.5
V(B3_B),    18.1,   17.5,   17.2,   14.5,   11.55,  10.15

T(B4_S),    48.5,   46.0,   42.2,   38.5,   34.1,   31.1
V(B4_S),    11.45,  9.8,    8.95,   7.15,   6.1,    5.7

T(B5_B),    50.0,   46.0,   42.3,   38.3,   34.5
V(B5_B),    17.0,   16.9,   13.3,   11.6,   10.15
